case_id,panel_id,geometry_model,variant_id,curve_id,solver_model,mode_family,p,q,sample_index,b_over_A4,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4,xi3,xi5,eta2,eta4
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,0,0.34999999999999998,8.3113225068671265e-07,8.3113225068671265e-07,0,0,1340904.8686421448,1358172.7328714607,nan,nan,nan,nan,nan,nan
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,1,0.39620253164556962,9.4084771958387373e-07,9.4084771958387373e-07,0,1,1280920.4943829807,1296668.9120190309,9246855.2508124243,-0.89809579689137553,3.0223418530601948e-06,3.0223418530601948e-06,3.8102078757410605e-06,3.8102078757410605e-06
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,2,0.44240506329113921,1.0505631884810347e-06,1.0505631884810347e-06,0,1,1226073.0360841556,1240494.0796175629,9261984.6122969463,-0.73810159923191176,2.0122040517395834e-06,2.0122040517395834e-06,2.1749091668981087e-06,2.1749091668981087e-06
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,3,0.4886075949367088,1.1602786573781955e-06,1.1602786573781955e-06,0,1,1175729.7189062517,1188984.400613666,9275258.2353798784,-0.59751657630538801,1.6486944611283771e-06,1.6486944611283771e-06,1.7237591132393325e-06,1.7237591132393325e-06
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,4,0.53481012658227844,1.2699941262753566e-06,1.2699941262753566e-06,0,1,1129357.5974561332,1141581.9032079333,9286968.38506197,-0.47332362371406439,1.4512837446531908e-06,1.4512837446531908e-06,1.4956683070805129e-06,1.4956683070805129e-06
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,5,0.58101265822784809,1.3797095951725176e-06,1.3797095951725176e-06,0,1,1086504.6158628985,1097814.1851158601,9297351.8457930423,-0.36306990656693405,1.3248351314360556e-06,1.3248351314360556e-06,1.3545264450291032e-06,1.3545264450291032e-06
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,6,0.62721518987341773,1.4894250640696788e-06,1.4894250640696788e-06,0,1,1046784.8222211314,1057278.6157714052,9306602.1229235027,-0.26474479777158472,1.2361012019032117e-06,1.2361012019032117e-06,1.2574948946701027e-06,1.2574948946701027e-06
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,7,0.67341772151898727,1.5991405329668395e-06,1.5991405329668395e-06,0,1,1009866.7117850025,1019629.9137990228,9314878.6182708256,-0.17668754689650698,1.170090140520588e-06,1.170090140520588e-06,1.1862916903204312e-06,1.1862916903204312e-06
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,8,0.71962025316455691,1.7088560018640005e-06,1.7088560018640005e-06,0,1,975463.95281116467,984570.28735199326,9322313.6096053906,-0.097516682499162496,1.1189422011611036e-06,1.1189422011611036e-06,1.1316583264002416e-06,1.1316583264002416e-06
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,9,0.76582278481012656,1.8185714707611615e-06,1.8185714707611615e-06,0,1,943327.94558704889,951841.54095961642,9329017.6159005295,-0.026075491931780541,1.0780994971408697e-06,1.0780994971408697e-06,1.0883529252244509e-06,1.0883529252244509e-06
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,10,0.81202531645569609,1.9282869396583225e-06,1.9282869396583225e-06,1,1,913241.80537617172,921218.70601487742,9335083.5620473064,0.038610473711934552,1.0447198245680364e-06,1.0447198245680364e-06,1.0531639124398122e-06,1.0531639124398122e-06
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,11,0.85822784810126573,2.0380024085554834e-06,2.0380024085554834e-06,1,1,885015.46120892069,892504.86246575916,9340590.040982442,0.097366807941854899,1.0169307657083451e-06,1.0169307657083451e-06,1.0240040096442557e-06,1.0240040096442557e-06
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,12,0.90443037974683538,2.1477178774526444e-06,2.1477178774526444e-06,1,1,858481.63633812079,865526.8996625772,9345603.8903772812,0.1508967251463792,9.9344450118955904e-07,9.9344450118955904e-07,9.9945296749885104e-07,9.9945296749885104e-07
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,13,0.95063291139240502,2.2574333463498054e-06,2.2574333463498054e-06,1,1,833492.53071185492,840132.02347506338,9350182.2439021748,0.19980220123949344,9.7334400778509804e-07,9.7334400778509804e-07,9.7850826316411649e-07,9.7850826316411649e-07
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,14,0.99683544303797456,2.3671488152469663e-06,2.3671488152469663e-06,1,1,809917.06646688061,816184.86077724129,9354374.1761962883,0.24460097310248027,9.55957363685968e-07,9.55957363685968e-07,9.6044063362855103e-07,9.6044063362855103e-07
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,15,1.0430379746835441,2.4768642841441269e-06,2.4768642841441269e-06,1,1,787638.58803315263,793565.0454115913,9358222.0310882945,0.28574029864029121,9.4078030090442003e-07,9.4078030090442003e-07,9.4470611240209339e-07,9.4470611240209339e-07
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,16,1.089240506329114,2.5865797530412887e-06,2.5865797530412887e-06,1,1,766552.93165756518,772165.19474506215,9361762.5009821616,0.32360816420192917,9.2742658287227705e-07,9.2742658287227705e-07,9.3089022774911993e-07,9.3089022774911993e-07
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,17,1.1354430379746834,2.6962952219384492e-06,2.6962952219384492e-06,1,1,746566.79692452366,751889.20502212388,9365027.5093512312,0.35854246656004479,9.15595140619172e-07,9.15595140619172e-07,9.1867135815518359e-07,9.1867135815518359e-07
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,18,1.1816455696202532,2.8060106908356106e-06,2.8060106908356106e-06,1,1,727596.36655668367,732650.80841600639,9368044.9363837466,0.39083857724020049,9.050476811963907e-07,9.050476811963907e-07,9.077959463670158e-07,9.077959463670158e-07
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,19,1.2278481012658227,2.9157261597327712e-06,2.9157261597327712e-06,1,1,709566.13142824185,714372.34607548336,9370839.2188798562,0.42075560689700237,8.9559305100252611e-07,8.9559305100252611e-07,8.9806130032887657e-07,8.9806130032887657e-07
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,20,1.2740506329113923,3.0254416286299322e-06,3.0254416286299322e-06,1,1,692407.8860545971,696983.72036417387,9373431.8487244025,0.44852161892512321,8.8707607818168188e-07,8.8707607818168188e-07,8.8930338910470483e-07,8.8930338910470483e-07
SG-006a,SG-006a,rectangular,default,E_y_1_1,closed_form,E_y,1,1,21,1.320253164556962,3.1351570975270935e-06,3.1351570975270935e-06,1,1,676059.86638329586,680421.49648566428,9375841.7890870087,0.47433798901505608,8.793694579398153e-07,8.793694579398153e-07,8.8138801093727167e-07,8.8138801093727167e-07
