case_id,panel_id,geometry_model,variant_id,curve_id,solver_model,mode_family,p,q,sample_index,b_over_A4,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4,xi3,xi5,eta2,eta4
SG-006c,SG-006c,rectangular,default,E_y_1_1,closed_form,E_y,1,1,0,0.34999999999999998,3.3245290027468506e-06,8.3113225068671265e-07,0,0,649587.75035771285,1358172.7328714607,nan,nan,nan,nan,nan,nan
SG-006c,SG-006c,rectangular,default,E_y_1_1,closed_form,E_y,1,1,1,0.39620253164556962,3.7633908783354949e-06,9.4084771958387373e-07,0,1,595545.8044801238,1296668.9120190309,9316137.3185013644,-0.16328882773416725,8.4649854233053044e-07,8.4649854233053044e-07,3.8102078757410605e-06,3.8102078757410605e-06
SG-006c,SG-006c,rectangular,default,E_y_1_1,closed_form,E_y,1,1,2,0.44240506329113921,4.2022527539241388e-06,1.0505631884810347e-06,0,1,549805.19076592207,1240494.0796175629,9326592.5342777185,-0.051924284029444351,8.310436067614668e-07,8.310436067614668e-07,2.1749091668981087e-06,2.1749091668981087e-06
SG-006c,SG-006c,rectangular,default,E_y_1_1,closed_form,E_y,1,1,3,0.4886075949367088,4.6411146295127818e-06,1.1602786573781955e-06,1,1,510589.5982702981,1188984.400613666,9335526.4429511316,0.043334908921380227,8.1936114793064921e-07,8.1936114793064921e-07,1.7237591132393325e-06,1.7237591132393325e-06
SG-006c,SG-006c,rectangular,default,E_y_1_1,closed_form,E_y,1,1,4,0.53481012658227844,5.0799765051014265e-06,1.2699941262753566e-06,1,1,476595.76615558041,1141581.9032079333,9343237.4926336426,0.12562851058745381,8.1028437752886701e-07,8.1028437752886701e-07,1.4956683070805129e-06,1.4956683070805129e-06
SG-006c,SG-006c,rectangular,default,E_y_1_1,closed_form,E_y,1,1,5,0.58101265822784809,5.5188383806900704e-06,1.3797095951725176e-06,1,1,446845.84069452883,1097814.1851158601,9349950.3966286723,0.1973250580275194,8.0307412237369985e-07,8.0307412237369985e-07,1.3545264450291032e-06,1.3545264450291032e-06
SG-006c,SG-006c,rectangular,default,E_y_1_1,closed_form,E_y,1,1,6,0.62721518987341773,5.9577002562787152e-06,1.4894250640696788e-06,1,1,420591.78013207001,1057278.6157714052,9355837.9685051255,0.26024910895928061,7.9724075217781507e-07,7.9724075217781507e-07,1.2574948946701027e-06,1.2574948946701027e-06
SG-006c,SG-006c,rectangular,default,E_y_1_1,closed_form,E_y,1,1,7,0.67341772151898727,6.3965621318673582e-06,1.5991405329668395e-06,1,1,397251.58911042451,1019629.9137990228,9361035.4995395523,0.31583119355633632,7.9244802191441246e-07,7.9244802191441246e-07,1.1862916903204312e-06,1.1862916903204312e-06
SG-006c,SG-006c,rectangular,default,E_y_1_1,closed_form,E_y,1,1,8,0.71962025316455691,6.8354240074560021e-06,1.7088560018640005e-06,1,1,376365.66834785108,984570.28735199326,9365650.5296085514,0.36520992169489552,7.8845802607804323e-07,7.8845802607804323e-07,1.1316583264002416e-06,1.1316583264002416e-06
SG-006c,SG-006c,rectangular,default,E_y_1_1,closed_form,E_y,1,1,9,0.76582278481012656,7.2742858830446459e-06,1.8185714707611615e-06,1,1,357566.24628869694,951841.54095961642,9369769.6700731609,0.40930341174640023,7.8509815134792754e-07,7.8509815134792754e-07,1.0883529252244509e-06,1.0883529252244509e-06
