case_id,panel_id,geometry_model,variant_id,curve_id,solver_model,mode_family,p,q,sample_index,b_over_A4,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4,xi3,xi5,eta2,eta4
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,0,0.050000000000000003,nan,3.729574465366099e-07,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,1,0.074842767295597495,nan,5.582633476459948e-07,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,2,0.099685534591194974,nan,7.4356924875537954e-07,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,3,0.12452830188679247,nan,9.2887514986476439e-07,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,4,0.14937106918238996,nan,1.1141810509741492e-06,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,5,0.17421383647798744,nan,1.2994869520835339e-06,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,6,0.19905660377358492,nan,1.4847928531929187e-06,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,7,0.2238993710691824,nan,1.6700987543023036e-06,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,8,0.24874213836477987,nan,1.8554046554116882e-06,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,9,0.27358490566037735,nan,2.040710556521073e-06,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,10,0.29842767295597483,nan,2.2260164576304579e-06,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,11,0.32327044025157231,nan,2.4113223587398423e-06,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,12,0.34811320754716985,nan,2.5966282598492276e-06,0,0,0,nan,nan,nan,nan,nan,nan,nan
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,13,0.37295597484276732,nan,2.7819341609586124e-06,1,1,0,417704.28016322467,9415517.1256887205,0.016404207293572684,nan,nan,1.8537953199725872e-05,1.8537953199725872e-05
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,14,0.3977987421383648,nan,2.9672400620679973e-06,1,1,0,407660.28022935503,9415957.3440902755,0.063138032494297128,nan,nan,9.4491748116822997e-06,9.4491748116822997e-06
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,15,0.42264150943396228,nan,3.1525459631773817e-06,1,1,0,398087.96861950948,9416366.8991307188,0.10661858056219009,nan,nan,7.2714824047112179e-06,7.2714824047112179e-06
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,16,0.44748427672955976,nan,3.3378518642867665e-06,1,1,0,388954.88036540453,9416748.5742608737,0.1471409510691479,nan,nan,6.1897431278099258e-06,6.1897431278099258e-06
SG-006d,SG-006d,slab,n4<n1,E_y_1_1,closed_form,E_y,1,1,17,0.47232704402515724,nan,3.5231577653961514e-06,1,1,0,380231.46297506901,9417104.8440785725,0.18496752686322521,nan,nan,5.520668386095684e-06,5.520668386095684e-06
