case_id,panel_id,geometry_model,variant_id,curve_id,solver_model,mode_family,p,q,sample_index,b_over_A4,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4,xi3,xi5,eta2,eta4
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,0,0.34999999999999998,3.1304951684997052e-07,1.5652475842498526e-07,0,0,5255656.7516561067,11098668.420679698,nan,nan,nan,nan,nan,nan
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,1,0.39620253164556962,3.5437431744680205e-07,1.7718715872340103e-07,0,0,4915810.107528734,10343620.763463892,nan,nan,nan,nan,nan,nan
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,2,0.44240506329113921,3.9569911804363359e-07,1.9784955902181679e-07,0,0,4617245.0902203787,9684761.8391181398,nan,nan,nan,nan,nan,nan
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,3,0.4886075949367088,4.3702391864046512e-07,2.1851195932023256e-07,0,0,4352870.5818133652,9104811.5052914862,nan,nan,nan,nan,nan,nan
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,4,0.53481012658227844,4.7834871923729665e-07,2.3917435961864833e-07,0,0,4117131.6027766047,8590394.8920482825,nan,nan,nan,nan,nan,nan
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,5,0.58101265822784809,5.1967351983412824e-07,2.5983675991706412e-07,0,0,3905614.7178188176,8130998.1720272209,nan,nan,nan,nan,nan,nan
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,6,0.62721518987341773,5.6099832043095983e-07,2.8049916021547991e-07,0,0,3714769.1314194691,7718242.3815242825,nan,nan,nan,nan,nan,nan
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,7,0.67341772151898727,6.0232312102779131e-07,3.0116156051389566e-07,0,0,3541705.7448430303,7345367.7353850221,nan,nan,nan,nan,nan,nan
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,8,0.71962025316455691,6.436479216246229e-07,3.2182396081231145e-07,0,1,3384049.8819367439,7006860.5322720129,5317758.1260957085,-0.2269567383159613,1.624433755098776e-07,1.624433755098776e-07,1.9923343509978373e-06,1.9923343509978373e-06
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,9,0.76582278481012656,6.8497272222145449e-07,3.4248636111072724e-07,0,1,3239831.6732768868,6698178.6783419475,5784836.4481324339,-0.12187083956581188,1.6043386026203993e-07,1.6043386026203993e-07,4.7232780600243456e-07,4.7232780600243456e-07
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,10,0.81202531645569609,7.2629752281828586e-07,3.6314876140914293e-07,0,1,3107403.323649846,6415546.7006658781,6165326.0031850161,-0.029731138537754744,1.5872602648918527e-07,1.5872602648918527e-07,3.494542534755753e-07,3.494542534755753e-07
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,11,0.85822784810126573,7.6762232341511745e-07,3.8381116170755873e-07,1,1,2985375.8729249248,6155800.5563811529,6482290.4915793063,0.051505051460451805,1.5726001293592689e-07,1.5726001293592689e-07,2.9547363005636064e-07,2.9547363005636064e-07
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,12,0.90443037974683538,8.0894712401194904e-07,4.0447356200597452e-07,1,1,2872570.2942702021,5916268.6741633937,6750743.9952492341,0.12349282985169116,1.5599055790899885e-07,1.5599055790899885e-07,2.640205984501068e-07,2.640205984501068e-07
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,13,0.95063291139240502,8.5027192460878063e-07,4.2513596230439031e-07,1,1,2767979.2755271583,5694679.7286575688,6981071.0588041553,0.18758473283273217,1.548828240875819e-07,1.548828240875819e-07,2.4311805562225169e-07,2.4311805562225169e-07
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,14,0.99683544303797456,8.9159672520561211e-07,4.4579836260280605e-07,1,1,2670737.0565645578,5489090.3920749081,7180772.2322970303,0.24489476490945758,1.5390957842551869e-07,1.5390957842551869e-07,2.281113724023249e-07,2.281113724023249e-07
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,15,1.0430379746835441,9.3292152580244359e-07,4.6646076290122179e-07,1,1,2580095.4087389223,5297828.1903564865,7355444.497586309,0.29634715959033009,1.5304923966391049e-07,1.5304923966391049e-07,2.1677220316860117e-07,2.1677220316860117e-07
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,16,1.089240506329114,9.7424632639927528e-07,4.8712316319963764e-07,1,1,2495404.345168524,5119445.9038201421,7509372.1709459499,0.34271389429860721,1.522844969565274e-07,1.522844969565274e-07,2.078858514163758e-07,2.078858514163758e-07
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,17,1.1354430379746834,1.0155711269961067e-06,5.0778556349805333e-07,1,1,2416096.5093525583,4952684.8799376739,7645902.8078661459,0.38464382910591405,1.5160131369675443e-07,1.5160131369675443e-07,2.0072822012072536e-07,2.0072822012072536e-07
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,18,1.1816455696202532,1.0568959275929385e-06,5.2844796379646923e-07,1,1,2341674.4490172574,4796445.290220255,7767696.7604656089,0.42268554058535884,1.5098819681012028e-07,1.5098819681012028e-07,1.9483838355993306e-07,1.9483838355993306e-07
SG-006f,SG-006f,rectangular,default,E_y_1_1,closed_form,E_y,1,1,19,1.2278481012658227,1.0982207281897698e-06,5.4911036409488492e-07,1,1,2271700.1716713812,4649761.8446737118,7876898.6744561465,0.45730536313696013,1.5043565254217411e-07,1.5043565254217411e-07,1.8990779383183567e-07,1.8990779383183567e-07
