case_id,panel_id,geometry_model,variant_id,curve_id,solver_model,mode_family,p,q,sample_index,b_over_A4,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4,xi3,xi5,eta2,eta4
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,0,0.34999999999999998,6.2609903369994103e-07,1.5652475842498526e-07,0,0,3449251.9548086007,11098668.420679698,nan,nan,nan,nan,nan,nan
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,1,0.39620253164556962,7.087486348936041e-07,1.7718715872340103e-07,0,0,3162294.1306235138,10343620.763463892,nan,nan,nan,nan,nan,nan
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,2,0.44240506329113921,7.9139823608726717e-07,1.9784955902181679e-07,0,0,2919415.6262475085,9684761.8391181398,nan,nan,nan,nan,nan,nan
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,3,0.4886075949367088,8.7404783728093024e-07,2.1851195932023256e-07,0,0,2711184.3918992281,9104811.5052914862,nan,nan,nan,nan,nan,nan
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,4,0.53481012658227844,9.5669743847459331e-07,2.3917435961864833e-07,0,0,2530680.2309008776,8590394.8920482825,nan,nan,nan,nan,nan,nan
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,5,0.58101265822784809,1.0393470396682565e-06,2.5983675991706412e-07,0,0,2372710.8287755535,8130998.1720272209,nan,nan,nan,nan,nan,nan
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,6,0.62721518987341773,1.1219966408619197e-06,2.8049916021547991e-07,0,0,2233304.1517456109,7718242.3815242825,nan,nan,nan,nan,nan,nan
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,7,0.67341772151898727,1.2046462420555826e-06,3.0116156051389566e-07,0,0,2109369.8573216721,7345367.7353850221,nan,nan,nan,nan,nan,nan
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,8,0.71962025316455691,1.2872958432492458e-06,3.2182396081231145e-07,0,1,1998467.5150613494,7006860.5322720129,5977999.0533904862,-0.075827657724698072,1.484880438199069e-07,1.484880438199069e-07,1.9923343509978373e-06,1.9923343509978373e-06
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,9,0.76582278481012656,1.369945444442909e-06,3.4248636111072724e-07,1,1,1898644.2914074222,6698178.6783419475,6352636.6067575123,0.017783372412805139,1.4785528822651602e-07,1.4785528822651602e-07,4.7232780600243456e-07,4.7232780600243456e-07
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,10,0.81202531645569609,1.4525950456365717e-06,3.6314876140914293e-07,1,1,1808318.9660159287,6415546.7006658781,6663121.08988922,0.099675019469395498,1.4731710253812908e-07,1.4731710253812908e-07,3.494542534755753e-07,3.494542534755753e-07
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,11,0.85822784810126573,1.5352446468302349e-06,3.8381116170755873e-07,1,1,1726197.5511700467,6155800.5563811529,6924796.1077707028,0.17172691397648054,1.4685528541344801e-07,1.4685528541344801e-07,2.9547363005636064e-07,2.9547363005636064e-07
SG-006g,SG-006g,rectangular,default,E_y_1_1,closed_form,E_y,1,1,12,0.90443037974683538,1.6178942480238981e-06,4.0447356200597452e-07,1,1,1651210.9043333153,5916268.6741633937,7148266.0229126848,0.23545603365192638,1.4645586372711466e-07,1.4645586372711466e-07,2.640205984501068e-07,2.640205984501068e-07
