case_id,panel_id,geometry_model,variant_id,curve_id,solver_model,mode_family,p,q,sample_index,b_over_A4,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4,xi3,xi5,eta2,eta4
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,0,0.050000000000000003,1.187331786695304e-07,1.187331786695304e-07,0,0,1926777.1035845545,3403727.1177270529,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,1,0.083193277310924379,1.9755604518123546e-07,1.9755604518123546e-07,0,0,1837926.1904979036,3135920.0306118852,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,2,0.11638655462184874,2.7637891169294051e-07,2.7637891169294051e-07,0,0,1756908.5528877166,2907181.4265382341,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,3,0.14957983193277313,3.5520177820464559e-07,3.5520177820464559e-07,0,0,1682732.0301739532,2709543.3617312955,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,4,0.1827731092436975,4.3402464471635062e-07,4.3402464471635062e-07,0,0,1614565.2298867665,2537066.6982679884,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,5,0.21596638655462186,5.1284751122805564e-07,5.1284751122805564e-07,0,0,1551706.2321756647,2385234.0269902847,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,6,0.24915966386554622,5.9167037773976067e-07,5.9167037773976067e-07,0,0,1493558.3308327161,2250548.2674404215,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,7,0.28235294117647058,6.7049324425146569e-07,6.7049324425146569e-07,0,0,1439611.0317184916,2130259.9930187897,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,8,0.31554621848739495,7.4931611076317072e-07,7.4931611076317072e-07,0,0,1389425.0256495394,2022177.7637696937,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,9,0.34873949579831931,8.2813897727487574e-07,8.2813897727487574e-07,0,0,1342620.1985482853,1924533.4096258781,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,10,0.38193277310924367,9.0696184378658077e-07,9.0696184378658077e-07,0,0,1298865.985992861,1835884.5460145869,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,11,0.41512605042016804,9.8578471029828579e-07,9.8578471029828579e-07,0,0,1257873.5542392347,1755042.8453453144,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,12,0.44831932773109245,1.064607576809991e-06,1.064607576809991e-06,0,0,1219389.4165543234,1681020.4602443522,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,13,0.48151260504201682,1.1434304433216961e-06,1.1434304433216961e-06,0,0,1183190.1865960024,1612989.4563197717,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,14,0.51470588235294124,1.2222533098334013e-06,1.2222533098334013e-06,0,0,1149078.2393687177,1550250.7123312766,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,15,0.5478991596638656,1.3010761763451063e-06,1.3010761763451063e-06,0,0,1116878.1017264249,1492209.806568014,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,16,0.58109243697478996,1.3798990428568113e-06,1.3798990428568113e-06,0,0,1086433.4332171674,1438358.1245797419,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,17,0.61428571428571432,1.4587219093685164e-06,1.4587219093685164e-06,0,0,1057604.4876146349,1388257.9151873938,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,18,0.64747899159663869,1.5375447758802214e-06,1.5375447758802214e-06,0,0,1030265.9681581605,1341530.364503548,nan,nan,nan,nan,nan,nan
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,19,0.68067226890756305,1.6163676423919264e-06,1.6163676423919264e-06,0,1,1004305.207056182,1297846.0000328613,9280808.5003992412,-0.53867231954543471,1.1612194760048977e-06,1.1612194760048977e-06,1.4484599733891531e-07,3.8975903826965607e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,20,0.71386554621848741,1.6951905089036314e-06,1.6951905089036314e-06,0,1,979620.61346317385,1256916.9104799065,9289076.5387971662,-0.45094878228083807,1.1246785133668909e-06,1.1246785133668909e-06,1.4468737719499164e-07,2.4225672181388166e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,21,0.74705882352941178,1.7740133754153365e-06,1.7740133754153365e-06,0,1,956120.34484689054,1218490.3926952267,9296642.1173929013,-0.3706098711350021,1.0936536484926632e-06,1.0936536484926632e-06,1.4454353324023305e-07,1.9406944054601179e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,22,0.78025210084033614,1.8528362419270415e-06,1.8528362419270415e-06,0,1,933721.16511212406,1182343.729406022,9303583.5945704374,-0.29684076012836813,1.0669760867194422e-06,1.0669760867194422e-06,1.4441267342888303e-07,1.6847936195831339e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,23,0.8134453781512605,1.9316591084387465e-06,1.9316591084387465e-06,0,1,912347.45955582091,1148279.8696825351,9309968.5855392758,-0.22893697498371493,1.0437902203077228e-06,1.0437902203077228e-06,1.4429327103268873e-07,1.5220063394670118e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,24,0.84663865546218497,2.010481974950452e-06,2.010481974950452e-06,0,1,891930.38208587281,1116123.8351808419,9315855.6981018987,-0.16628680170758586,1.023454087744359e-06,1.023454087744359e-06,1.4418401859836552e-07,1.4078931286838518e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,25,0.87983193277310934,2.089304841462157e-06,2.089304841462157e-06,0,1,872407.11443794693,1085719.7137668631,9321295.9474324342,-0.10835690175367407,1.0054758491791815e-06,1.0054758491791815e-06,1.440837910119867e-07,1.322857240829382e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,26,0.9130252100840337,2.168127707973862e-06,2.168127707973862e-06,0,1,853720.22059743071,1056928.1314866033,9326333.9163692594,-0.054680479458825683,9.8947184685703593e-07,9.8947184685703593e-07,1.4399161565875226e-07,1.2567588176709807e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,27,0.94621848739495806,2.246950574485567e-06,2.246950574485567e-06,0,1,835817.08245084248,1029624.1163815547,9331008.7125376277,-0.0048474945032092129,9.7513809957408444e-07,9.7513809957408444e-07,1.4390664815510916e-07,1.2037661092470507e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,28,0.97941176470588243,2.3257734409972721e-06,2.3257734409972721e-06,1,1,818649.40498754219,1003695.2850749211,9335354.7622056752,0.04150347673909744,9.6223043395476415e-07,9.6223043395476415e-07,1.4382815248985356e-07,1.160261811189585e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,29,1.0126050420168067,2.4045963075089767e-06,2.4045963075089767e-06,1,1,802172.78125306498,979040.29662837402,9339402.4721284397,0.084692042469291295,9.5055032722956824e-07,9.5055032722956824e-07,1.4375548467819875e-07,1.1238708848787577e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,30,1.0457983193277312,2.4834191740206821e-06,2.4834191740206821e-06,1,1,786346.30880198849,955567.52881413663,9343178.7840281539,0.12500170592344642,9.3993462164678685e-07,9.3993462164678685e-07,1.436880792333377e-07,1.0929630978154363e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,31,1.0789915966386554,2.5622420405323867e-06,2.5622420405323867e-06,1,1,771132.25067552296,933193.94034908328,9346707.6412749812,0.16268468140406001,9.3024792143455859e-07,9.3024792143455859e-07,1.4362543791173926e-07,1.0663787906807775e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,32,1.1121848739495799,2.6410649070440922e-06,2.6410649070440922e-06,1,1,756495.73498809384,911844.08930944081,9350010.3833921235,0.19796597321276765,9.2137688505872489e-07,9.2137688505872489e-07,1.4356712030410639e-07,1.0432684949499469e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,33,1.1453781512605044,2.7198877735557972e-06,2.7198877735557972e-06,1,1,742404.48808873317,891449.28327355196,9353106.0809348803,0.23104684423060168,9.13225880207879e-07,9.13225880207879e-07,1.4351273593280741e-07,1.0229945083066856e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,34,1.1785714285714286,2.7987106400675022e-06,2.7987106400675022e-06,1,1,728828.59699954314,871946.8410197763,9356011.8208794277,0.26210777679711644,9.0571363418382497e-07,9.0571363418382497e-07,1.4346193758536973e-07,1.0050680267046933e-06
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,35,1.2117647058823531,2.8775335065792072e-06,2.8775335065792072e-06,1,1,715740.29745093244,853279.4490616495,9358742.9507502858,0.29131100944418054,8.9877062187560413e-07,8.9877062187560413e-07,1.4341441566720146e-07,9.8910760701364713e-07
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,36,1.2449579831932773,2.9563563730909123e-06,2.9563563730909123e-06,1,1,703113.78435272106,835394.5991056941,9361313.2882006727,0.31880271782519648,8.9233700745252661e-07,8.9233700745252661e-07,1.4336989339870894e-07,9.7481091650819644e-07
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,37,1.2781512605042018,3.0351792396026173e-06,3.0351792396026173e-06,1,1,690925.04197857401,818244.09480257973,9363735.301549904,0.34471489599165983,8.8636100673766501e-07,8.8636100673766501e-07,1.4332812271510544e-07,9.619350307620195e-07
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,38,1.3113445378151261,3.1140021061143223e-06,3.1140021061143223e-06,1,1,679151.6915123607,801783.61803390342,9366020.2658104822,0.36916698435655371,8.8079757271116683e-07,8.8079757271116683e-07,1.4328888075348472e-07,9.5028238816302535e-07
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,39,1.3445378151260505,3.1928249726260273e-06,3.1928249726260273e-06,1,1,667772.85392020689,785972.3465162348,9368178.3979535364,0.39226728274673389,8.7560733173441023e-07,8.7560733173441023e-07,1.4325196683269112e-07,9.3969058100732748e-07
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,40,1.3777310924369748,3.2716478391377324e-06,3.2716478391377324e-06,1,1,656769.02638044429,770772.61577554571,9370218.9745257329,0.41411418049585813,8.7075571613813505e-07,8.7075571613813505e-07,1.4321719984832172e-07,9.3002480617619246e-07
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,41,1.4109243697478993,3.3504707056494374e-06,3.3504707056494374e-06,1,1,646121.97073291708,756149.61959949718,9372150.434213059,0.43479723026375439,8.6621225194083659e-07,8.6621225194083659e-07,1.4318441601873427e-07,9.2117219571716755e-07
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,42,1.4441176470588235,3.4292935721611424e-06,3.4292935721611424e-06,1,1,635814.61260546488,742071.14395274827,9373980.4675236158,0.45439808795392528,8.6194997011380921e-07,8.6194997011380921e-07,1.4315346692889482e-07,9.1303749962647135e-07
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,43,1.477310924369748,3.5081164386728474e-06,3.5081164386728474e-06,1,1,625830.95004399843,728507.33007375209,9375716.0954137314,0.47299133754833905,8.579449169814997e-07,8.579449169814997e-07,1.4312421782781117e-07,9.0553975670557448e-07
SG-006h,SG-006h,rectangular,default,E_y_1_1,closed_form,E_y,1,1,44,1.5105042016806722,3.5869393051845525e-06,3.5869393051845525e-06,1,1,616155.97061772773,715430.46308633941,9377363.7383949477,0.4906452167446802,8.541757447297298e-07,8.541757447297298e-07,1.4309654614257795e-07,8.9860969780989064e-07
