case_id,panel_id,geometry_model,variant_id,curve_id,solver_model,mode_family,p,q,sample_index,b_over_A4,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4,xi3,xi5,eta2,eta4
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,0,0.050000000000000003,1.4918297861464396e-06,3.729574465366099e-07,0,0,503422.32368404372,1119676.2286268261,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,1,0.066527196652719667,1.9849450711069781e-06,4.9623626777674453e-07,0,0,466555.60595303285,1072551.4635462337,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,2,0.083054393305439345,2.4780603560675172e-06,6.1951508901687931e-07,0,0,434720.10215409903,1029233.2490186103,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,3,0.099581589958159009,2.9711756410280559e-06,7.4279391025701398e-07,0,0,406951.68254788424,989278.27259438299,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,4,0.11610878661087867,3.4642909259885942e-06,8.6607273149714855e-07,0,0,382517.76786945417,952309.48719447129,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,5,0.13263598326359832,3.9574062109491325e-06,9.8935155273728312e-07,0,0,360851.75360472099,918004.17563021823,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,6,0.149163179916318,4.4505214959096716e-06,1.1126303739774179e-06,0,0,341508.52513629553,886084.50515507325,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,7,0.16569037656903768,4.9436367808702107e-06,1.2359091952175527e-06,0,0,324133.5524588406,856309.98635165242,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,8,0.18221757322175736,5.436752065830749e-06,1.3591880164576873e-06,0,0,308440.96237841988,828471.40298542043,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,9,0.19874476987447703,5.9298673507912881e-06,1.482466837697822e-06,0,0,294197.68624184129,802385.88861773023,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,10,0.21527196652719666,6.4229826357518256e-06,1.6057456589379564e-06,0,0,281211.80597954808,777892.90494286886,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,11,0.23179916317991633,6.9160979207123647e-06,1.7290244801780912e-06,0,0,269323.85610530077,754850.93487930868,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,12,0.24832635983263601,7.4092132056729038e-06,1.852303301418226e-06,0,0,258400.24242983977,733134.74647660018,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,13,0.26485355648535569,7.9023284906334421e-06,1.9755821226583605e-06,0,0,248328.1999448275,712633.11590051919,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,14,0.28138075313807537,8.3954437755939821e-06,2.0988609438984955e-06,0,0,239011.8856710312,693246.9220763687,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,15,0.29790794979079499,8.8885590605545186e-06,2.2221397651386297e-06,0,0,230369.31919203172,674887.54409162223,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,16,0.31443514644351467,9.3816743455150586e-06,2.3454185863787647e-06,0,0,222329.96379763383,657475.50667976809,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,17,0.33096234309623435,9.8747896304755969e-06,2.4686974076188992e-06,0,0,214832.79702342401,640939.33010889089,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,18,0.34748953974895402,1.0367904915436135e-05,2.5919762288590338e-06,0,0,207824.75883469023,625214.54937098932,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,19,0.36401673640167365,1.0861020200396673e-05,2.7152550500991684e-06,0,0,201259.4939451805,610242.87429295457,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,20,0.38054393305439332,1.1354135485357212e-05,2.8385338713393029e-06,0,0,195096.32521966842,595971.46749962156,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,21,0.397071129707113,1.1847250770317752e-05,2.9618126925794379e-06,0,0,189299.41009682493,582352.3213767939,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,22,0.41359832635983268,1.234036605527829e-05,3.0850915138195725e-06,0,0,183837.04306414275,569341.7185516156,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,23,0.43012552301255236,1.283348134023883e-05,3.2083703350597075e-06,0,0,178681.07551127116,556899.76311441965,nan,nan,nan,nan,nan,nan
SG-006j,SG-006j,rectangular,default,E_y_1_1,closed_form,E_y,1,1,24,0.44665271966527204,1.3326596625199368e-05,3.3316491562998421e-06,0,0,173806.43054614472,544989.97199197602,nan,nan,nan,nan,nan,nan
