case_id,panel_id,geometry_model,variant_id,curve_id,solver_model,mode_family,p,q,sample_index,b_over_A4,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4,xi3,xi5,eta2,eta4
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,0,0.050000000000000003,nan,1.187331786695304e-07,0,0,0,3403727.1177270529,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,1,0.074842767295597495,nan,1.7772639322860525e-07,0,0,0,3199245.4030433269,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,2,0.099685534591194974,nan,2.367196077876801e-07,0,0,0,3017940.1582270949,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,3,0.12452830188679247,nan,2.9571282234675497e-07,0,0,0,2856082.3911871165,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,4,0.14937106918238996,nan,3.5470603690582984e-07,0,0,0,2710702.3610139973,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,5,0.17421383647798744,nan,4.1369925146490466e-07,0,0,0,2579405.7010158468,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,6,0.19905660377358492,nan,4.7269246602397948e-07,0,0,0,2460240.511014143,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,7,0.2238993710691824,nan,5.3168568058305435e-07,0,0,0,2351599.6637713481,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,8,0.24874213836477987,nan,5.9067889514212917e-07,0,0,0,2252147.9008369399,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,9,0.27358490566037735,nan,6.4967210970120399e-07,0,0,0,2160766.6769724158,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,10,0.29842767295597483,nan,7.0866532426027881e-07,0,0,0,2076511.9086632854,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,11,0.32327044025157231,nan,7.6765853881935363e-07,0,0,0,1998581.2367210255,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,12,0.34811320754716985,nan,8.2665175337842866e-07,0,0,0,1926288.3939639505,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,13,0.37295597484276732,nan,8.8564496793750348e-07,0,0,0,1859042.9417418099,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,14,0.3977987421383648,nan,9.446381824965783e-07,0,0,0,1796334.107599379,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,15,0.42264150943396228,nan,1.0036313970556531e-06,0,0,0,1737717.7873069153,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,16,0.44748427672955976,nan,1.062624611614728e-06,0,0,0,1682806.0113008814,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,17,0.47232704402515724,nan,1.1216178261738028e-06,0,0,0,1631258.3471067317,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,18,0.49716981132075472,nan,1.1806110407328777e-06,0,0,0,1582774.8349611708,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,19,0.5220125786163522,nan,1.2396042552919524e-06,0,0,0,1537090.1468575553,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,20,0.54685534591194973,nan,1.2985974698510275e-06,0,0,0,1493968.7287616541,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,21,0.57169811320754726,nan,1.3575906844101025e-06,0,0,0,1453200.7381938659,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,22,0.59654088050314469,nan,1.4165838989691772e-06,0,0,0,1414598.6292838275,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,23,0.62138364779874222,nan,1.4755771135282521e-06,0,0,0,1377994.2680187877,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,24,0.64622641509433976,nan,1.534570328087327e-06,0,0,0,1343236.4840724934,nan,nan,nan,nan,nan,nan
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,25,0.67106918238993718,nan,1.5935635426464017e-06,1,1,0,1310188.9840265864,9333265.4754881822,0.019218370960828485,nan,nan,1.4489493499120134e-07,5.452478121708303e-06
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,26,0.69591194968553471,nan,1.6525567572054767e-06,1,1,0,1278728.5652399061,9337627.7965146881,0.065754167736083544,nan,nan,1.4477121046521563e-07,2.9477495047061292e-06
SG-006k,SG-006k,slab,default,E_y_1_1,closed_form,E_y,1,1,27,0.72075471698113214,nan,1.7115499717645514e-06,1,1,0,1248743.5810163212,9341685.0235209055,0.10905483991464658,nan,nan,1.4465637135161671e-07,2.2889154223706812e-06
