case_id,curve_id,x,y,x_quantity,y_quantity,mode_label,field_kind,status,source,solver_model,p,q,v_number,wavelength,a,b,a_over_b,n_core,n_cladding,kz,source_status,guided
fig5b_rect_ey_low_contrast,Ey11_marcatili_exact,0.3,-0.783941805141,v_number,b_number,Ey11,E,below_cutoff,marcatili_1969_single_guide,exact,1,1,0.3,2.13437474581,1,0.5,2,1.05,1,2.82305623645,below_cutoff,0
fig5b_rect_ey_low_contrast,Ey11_marcatili_exact,0.7,-0.311810343632,v_number,b_number,Ey11,E,below_cutoff,marcatili_1969_single_guide,exact,1,1,0.7,0.914732033919,1,0.5,2,1.05,1,6.75822281046,below_cutoff,0
fig5b_rect_ey_low_contrast,Ey11_marcatili_exact,1.1,0.0431812932271,v_number,b_number,Ey11,E,propagating,marcatili_1969_single_guide,exact,1,1,1.1,0.582102203403,1,0.5,2,1.05,1,10.8178166423,ok,1
fig5b_rect_ey_low_contrast,Ey11_marcatili_exact,1.5,0.285443492162,v_number,b_number,Ey11,E,propagating,marcatili_1969_single_guide,exact,1,1,1.5,0.426874949162,1,0.5,2,1.05,1,14.9328023153,ok,1
fig5b_rect_ey_low_contrast,Ey11_marcatili_closed_form,0.3,nan,v_number,b_number,Ey11,E,outside_closed_form_domain,marcatili_1969_single_guide,closed_form,1,1,0.3,2.13437474581,1,0.5,2,1.05,1,nan,outside_closed_form_domain,0
fig5b_rect_ey_low_contrast,Ey11_marcatili_closed_form,0.7,nan,v_number,b_number,Ey11,E,outside_closed_form_domain,marcatili_1969_single_guide,closed_form,1,1,0.7,0.914732033919,1,0.5,2,1.05,1,nan,outside_closed_form_domain,0
fig5b_rect_ey_low_contrast,Ey11_marcatili_closed_form,1.1,-0.118298775565,v_number,b_number,Ey11,E,below_cutoff,marcatili_1969_single_guide,closed_form,1,1,1.1,0.582102203403,1,0.5,2,1.05,1,10.7283142284,below_cutoff,0
fig5b_rect_ey_low_contrast,Ey11_marcatili_closed_form,1.5,0.213437128155,v_number,b_number,Ey11,E,propagating,marcatili_1969_single_guide,closed_form,1,1,1.5,0.426874949162,1,0.5,2,1.05,1,14.8791655596,ok,1
fig5b_rect_ey_low_contrast,Ey21_marcatili_exact,0.3,nan,v_number,b_number,Ey21,E,below_cutoff,marcatili_1969_single_guide,exact,2,1,0.3,2.13437474581,1,0.5,2,1.05,1,nan,below_cutoff,0
fig5b_rect_ey_low_contrast,Ey21_marcatili_exact,0.7,nan,v_number,b_number,Ey21,E,below_cutoff,marcatili_1969_single_guide,exact,2,1,0.7,0.914732033919,1,0.5,2,1.05,1,nan,below_cutoff,0
fig5b_rect_ey_low_contrast,Ey21_marcatili_exact,1.1,-0.620342143539,v_number,b_number,Ey21,E,below_cutoff,marcatili_1969_single_guide,exact,2,1,1.1,0.582102203403,1,0.5,2,1.05,1,10.4451526159,below_cutoff,0
fig5b_rect_ey_low_contrast,Ey21_marcatili_exact,1.5,-0.271938109858,v_number,b_number,Ey21,E,below_cutoff,marcatili_1969_single_guide,exact,2,1,1.5,0.426874949162,1,0.5,2,1.05,1,14.5124439425,below_cutoff,0
fig5b_rect_ey_low_contrast,Ey21_marcatili_closed_form,0.3,nan,v_number,b_number,Ey21,E,outside_closed_form_domain,marcatili_1969_single_guide,closed_form,2,1,0.3,2.13437474581,1,0.5,2,1.05,1,nan,outside_closed_form_domain,0
fig5b_rect_ey_low_contrast,Ey21_marcatili_closed_form,0.7,nan,v_number,b_number,Ey21,E,outside_closed_form_domain,marcatili_1969_single_guide,closed_form,2,1,0.7,0.914732033919,1,0.5,2,1.05,1,nan,outside_closed_form_domain,0
fig5b_rect_ey_low_contrast,Ey21_marcatili_closed_form,1.1,nan,v_number,b_number,Ey21,E,outside_closed_form_domain,marcatili_1969_single_guide,closed_form,2,1,1.1,0.582102203403,1,0.5,2,1.05,1,nan,outside_closed_form_domain,0
fig5b_rect_ey_low_contrast,Ey21_marcatili_closed_form,1.5,-0.443716286074,v_number,b_number,Ey21,E,below_cutoff,marcatili_1969_single_guide,closed_form,2,1,1.5,0.426874949162,1,0.5,2,1.05,1,14.3804178741,below_cutoff,0
