case_id,curve_id,x,y,x_quantity,y_quantity,mode_label,field_kind,status,source,solver_model,p,q,v_number,wavelength,a,b,a_over_b,n_core,n_cladding,kz,source_status,guided
fig5c_rect_ex_ey_high_contrast,Ex11_marcatili_exact,0.3,nan,v_number,b_number,Ex11,E,below_cutoff,marcatili_1969_single_guide,exact,1,1,0.3,7.453559925,1,0.5,2,1.5,1,nan,below_cutoff,0
fig5c_rect_ex_ey_high_contrast,Ex11_marcatili_exact,0.7,-0.511873723553,v_number,b_number,Ex11,E,below_cutoff,marcatili_1969_single_guide,exact,1,1,0.7,3.194382825,1,0.5,2,1.5,1,1.18042757482,below_cutoff,0
fig5c_rect_ex_ey_high_contrast,Ex11_marcatili_exact,1.1,-0.0746931368655,v_number,b_number,Ex11,E,below_cutoff,marcatili_1969_single_guide,exact,1,1,1.1,2.03278907045,1,0.5,2,1.5,1,2.94308937824,below_cutoff,0
fig5c_rect_ex_ey_high_contrast,Ex11_marcatili_exact,1.5,0.226862404336,v_number,b_number,Ex11,E,propagating,marcatili_1969_single_guide,exact,1,1,1.5,1.490711985,1,0.5,2,1.5,1,4.77526259347,ok,1
fig5c_rect_ex_ey_high_contrast,Ex11_marcatili_closed_form,0.3,nan,v_number,b_number,Ex11,E,outside_closed_form_domain,marcatili_1969_single_guide,closed_form,1,1,0.3,7.453559925,1,0.5,2,1.5,1,nan,outside_closed_form_domain,0
fig5c_rect_ex_ey_high_contrast,Ex11_marcatili_closed_form,0.7,nan,v_number,b_number,Ex11,E,outside_closed_form_domain,marcatili_1969_single_guide,closed_form,1,1,0.7,3.194382825,1,0.5,2,1.5,1,nan,outside_closed_form_domain,0
fig5c_rect_ex_ey_high_contrast,Ex11_marcatili_closed_form,1.1,-0.233061651274,v_number,b_number,Ex11,E,below_cutoff,marcatili_1969_single_guide,closed_form,1,1,1.1,2.03278907045,1,0.5,2,1.5,1,2.60201906955,below_cutoff,0
fig5c_rect_ex_ey_high_contrast,Ex11_marcatili_closed_form,1.5,0.165326008463,v_number,b_number,Ex11,E,propagating,marcatili_1969_single_guide,closed_form,1,1,1.5,1.490711985,1,0.5,2,1.5,1,4.62996955699,ok,1
fig5c_rect_ex_ey_high_contrast,Ey11_marcatili_exact,0.3,nan,v_number,b_number,Ey11,E,below_cutoff,marcatili_1969_single_guide,exact,1,1,0.3,7.453559925,1,0.5,2,1.5,1,nan,below_cutoff,0
fig5c_rect_ex_ey_high_contrast,Ey11_marcatili_exact,0.7,-0.440423045897,v_number,b_number,Ey11,E,below_cutoff,marcatili_1969_single_guide,exact,1,1,0.7,3.194382825,1,0.5,2,1.5,1,1.31869341452,below_cutoff,0
fig5c_rect_ex_ey_high_contrast,Ey11_marcatili_exact,1.1,-0.150228400362,v_number,b_number,Ey11,E,below_cutoff,marcatili_1969_single_guide,exact,1,1,1.1,2.03278907045,1,0.5,2,1.5,1,2.78562672549,below_cutoff,0
fig5c_rect_ex_ey_high_contrast,Ey11_marcatili_exact,1.5,0.0922949908066,v_number,b_number,Ey11,E,propagating,marcatili_1969_single_guide,exact,1,1,1.5,1.490711985,1,0.5,2,1.5,1,4.45138706234,ok,1
fig5c_rect_ex_ey_high_contrast,Ey11_marcatili_closed_form,0.3,nan,v_number,b_number,Ey11,E,outside_closed_form_domain,marcatili_1969_single_guide,closed_form,1,1,0.3,7.453559925,1,0.5,2,1.5,1,nan,outside_closed_form_domain,0
fig5c_rect_ex_ey_high_contrast,Ey11_marcatili_closed_form,0.7,nan,v_number,b_number,Ey11,E,outside_closed_form_domain,marcatili_1969_single_guide,closed_form,1,1,0.7,3.194382825,1,0.5,2,1.5,1,nan,outside_closed_form_domain,0
fig5c_rect_ex_ey_high_contrast,Ey11_marcatili_closed_form,1.1,nan,v_number,b_number,Ey11,E,outside_closed_form_domain,marcatili_1969_single_guide,closed_form,1,1,1.1,2.03278907045,1,0.5,2,1.5,1,nan,outside_closed_form_domain,0
fig5c_rect_ex_ey_high_contrast,Ey11_marcatili_closed_form,1.5,-0.156285117001,v_number,b_number,Ey11,E,below_cutoff,marcatili_1969_single_guide,closed_form,1,1,1.5,1.490711985,1,0.5,2,1.5,1,3.78083658668,below_cutoff,0
