case_id,curve_id,curve_label,solver_model,transverse_equation,p,a_over_A5,sample_index,c_over_a,c_over_A5,kx_A5_over_pi,sqrt_one_minus_kx_A5_over_pi_squared,normalized_coupling,domain_valid,status
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,0,0,0,0.80616259520668487,0.59169406798583235,0.76908173652611211,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,1,0.02,0.01,0.80616259520668487,0.59169406798583235,0.75491762388290684,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,2,0.040000000000000001,0.02,0.80616259520668487,0.59169406798583235,0.74101437049228969,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,3,0.059999999999999998,0.029999999999999999,0.80616259520668487,0.59169406798583235,0.72736717213168967,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,4,0.080000000000000002,0.040000000000000001,0.80616259520668487,0.59169406798583235,0.71397131305749206,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,5,0.10000000000000001,0.050000000000000003,0.80616259520668487,0.59169406798583235,0.70082216437552991,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,6,0.12,0.059999999999999998,0.80616259520668487,0.59169406798583235,0.68791518244158445,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,7,0.14000000000000001,0.070000000000000007,0.80616259520668487,0.59169406798583235,0.67524590729134448,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,8,0.16,0.080000000000000002,0.80616259520668487,0.59169406798583235,0.66280996109928036,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,9,0.17999999999999999,0.089999999999999997,0.80616259520668487,0.59169406798583235,0.65060304666590141,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,10,0.20000000000000001,0.10000000000000001,0.80616259520668487,0.59169406798583235,0.638620945932873,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,11,0.22,0.11,0.80616259520668487,0.59169406798583235,0.62685951852548016,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,12,0.23999999999999999,0.12,0.80616259520668487,0.59169406798583235,0.61531470032193547,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,13,0.26000000000000001,0.13,0.80616259520668487,0.59169406798583235,0.6039825020490357,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,14,0.28000000000000003,0.14000000000000001,0.80616259520668487,0.59169406798583235,0.59285900790368085,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,15,0.29999999999999999,0.14999999999999999,0.80616259520668487,0.59169406798583235,0.58194037419978262,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,16,0.32000000000000001,0.16,0.80616259520668487,0.59169406798583235,0.5712228280400905,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,17,0.34000000000000002,0.17000000000000001,0.80616259520668487,0.59169406798583235,0.56070266601248075,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,18,0.35999999999999999,0.17999999999999999,0.80616259520668487,0.59169406798583235,0.55037625291025438,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,19,0.38,0.19,0.80616259520668487,0.59169406798583235,0.54024002047600339,1,ok
