case_id,curve_id,solver_model,mode_family,p,q,sample_index,a_over_A,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,0,0.050000000000000003,5.4660816661012134e-08,2.7330408330506067e-08,0,1,2864910.9041504455,2866458.1897377502,8508944.8563008979,-0.98883735667843331
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,1,0.082916666666666666,9.064585429617844e-08,4.532292714808922e-08,0,1,2849778.5299309166,2853921.4014316848,8518235.4143683575,-0.96968170135268816
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,2,0.11583333333333334,1.2663089193134477e-07,6.3315445965672386e-08,0,1,2827778.3582462845,2835553.0199278919,8531690.8193872124,-0.94190173232467234
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,3,0.14874999999999999,1.6261592956651108e-07,8.130796478325554e-08,0,1,2799585.8677564403,2811773.7850314775,8548841.2525132578,-0.90642946362625409
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,4,0.1816666666666667,1.9860096720167744e-07,9.9300483600838719e-08,0,1,2765997.496214116,2783099.5112072052,8569133.8285418153,-0.86436628875644017
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,5,0.21458333333333335,2.3458600483684374e-07,1.1729300241842187e-07,0,1,2727868.7118879328,2750110.7108016638,8591976.6630759127,-0.81689753178454072
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,6,0.2475,2.7057104247201005e-07,1.3528552123600503e-07,0,1,2686059.0894960491,2713422.0573224332,8616778.2213757839,-0.7652153433314145
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,7,0.2804166666666667,3.0655608010717638e-07,1.5327804005358819e-07,0,1,2641389.3411181737,2673654.4165515224,8642978.3072321825,-0.71045705584366636
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,8,0.31333333333333335,3.4254111774234272e-07,1.7127055887117136e-07,0,1,2594611.8791042389,2631411.3426603489,8670069.3856700994,-0.65366176903307993
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,9,0.34625,3.78526155377509e-07,1.892630776887545e-07,0,1,2546393.969936748,2587261.0176154058,8697608.7395560462,-0.5957445118569088
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,10,0.37916666666666671,4.1451119301267533e-07,2.0725559650633766e-07,0,1,2497311.1365321772,2541723.7912719427,8725223.0267219432,-0.53748523926019043
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,11,0.41208333333333336,4.5049623064784166e-07,2.2524811532392083e-07,0,1,2447848.0203295089,2495264.8677540501,8752607.2069370002,-0.47952906110296034
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,12,0.44500000000000001,4.8648126828300794e-07,2.4324063414150397e-07,0,1,2398404.0930875177,2448291.3145117583,8779519.7508378327,-0.42239411314949771
