case_id,table_entry_interpretation,row_id,article_panel_id,solver_model,mode_id,mode_family,p,q,cutoff_found,guided_at_search_min,guided_at_search_max,guided_in_search_window,cutoff_status,cutoff_b_normalized,cutoff_a_normalized,cutoff_b_over_A4
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_1_2,E_y,1,2,1,0,1,1,found,16.566942940056329,16.566942940056329,1.4806821434010524
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_1_2,E_x,1,2,1,0,1,1,found,16.56538682505489,16.56538682505489,1.4805430645315201
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_1_3,E_y,1,3,1,0,1,1,found,26.306670458614825,26.306670458614825,2.3511771206881762
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_1_3,E_x,1,3,1,0,1,1,found,26.304639836549754,26.304639836549754,2.3509956324170669
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_1_4,E_y,1,4,1,0,1,1,found,36.62221490606666,36.62221490606666,3.2731361398063932
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_1_4,E_x,1,4,1,0,1,1,found,36.620190988183026,36.620190988183026,3.2729552507262021
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_2_1,E_y,2,1,1,0,1,1,found,16.56538682505489,16.56538682505489,1.4805430645315201
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_2_1,E_x,2,1,1,0,1,1,found,16.566942940056329,16.566942940056329,1.4806821434010524
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_2_2,E_y,2,2,1,0,1,1,found,23.73990159600973,23.73990159600973,2.1217703535586776
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_2_2,E_x,2,2,1,0,1,1,found,23.73990159600973,23.73990159600973,2.1217703535586776
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_2_3,E_y,2,3,1,0,1,1,found,32.219009848684067,32.219009848684067,2.8795965999051689
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_2_3,E_x,2,3,1,0,1,1,found,32.217669012397508,32.217669012397508,2.8794767617217505
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_2_4,E_y,2,4,1,0,1,1,found,41.550254572182894,41.550254572182894,3.7135831409213487
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_2_4,E_x,2,4,1,0,1,1,found,41.548218735754482,41.548218735754482,3.7134011866128596
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_3_1,E_y,3,1,1,0,1,1,found,26.304639836549754,26.304639836549754,2.3509956324170669
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_3_1,E_x,3,1,1,0,1,1,found,26.306670458614825,26.306670458614825,2.3511771206881762
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_3_2,E_y,3,2,1,0,1,1,found,32.217669012397508,32.217669012397508,2.8794767617217505
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_3_2,E_x,3,2,1,0,1,1,found,32.219009848684067,32.219009848684067,2.8795965999051689
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_3_3,E_y,3,3,1,0,1,1,found,39.563145624250168,39.563145624250168,3.5359838851719694
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_3_3,E_x,3,3,1,0,1,1,found,39.563145624250168,39.563145624250168,3.5359838851719694
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_3_4,E_y,3,4,1,0,1,1,found,47.922646065801374,47.922646065801374,4.2831200995202758
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_3_4,E_x,3,4,1,0,1,1,found,47.921550304591641,47.921550304591641,4.2830221650937155
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_4_1,E_y,4,1,1,0,1,1,found,36.620190988183026,36.620190988183026,3.2729552507262021
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_4_1,E_x,4,1,1,0,1,1,found,36.62221490606666,36.62221490606666,3.2731361398063932
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_4_2,E_y,4,2,1,0,1,1,found,41.548218735754482,41.548218735754482,3.7134011866128596
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_4_2,E_x,4,2,1,0,1,1,found,41.550254572182894,41.550254572182894,3.7135831409213487
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_4_3,E_y,4,3,1,0,1,1,found,47.921550304591641,47.921550304591641,4.2830221650937155
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_4_3,E_x,4,3,1,0,1,1,found,47.922646065801374,47.922646065801374,4.2831200995202758
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_y_4_4,E_y,4,4,0,0,0,0,above_search_max,nan,nan,nan
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,E_x_4_4,E_x,4,4,0,0,0,0,above_search_max,nan,nan,nan
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_1_2,E_y,1,2,1,0,1,1,found,17.907165421545507,17.907165421545507,1.6004654675608523
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_1_2,E_x,1,2,1,0,1,1,found,17.898630998581641,17.898630998581641,1.5997026975234017
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_1_3,E_y,1,3,1,0,1,1,found,28.27169061854482,28.27169061854482,2.5268021755192955
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_1_3,E_x,1,3,1,0,1,1,found,28.260311387926333,28.260311387926333,2.525785148802695
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_1_4,E_y,1,4,1,0,1,1,found,39.022714109867806,39.022714109867806,3.4876824395780224
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_1_4,E_x,1,4,1,0,1,1,found,39.010163137316709,39.010163137316709,3.4865606876044706
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_2_1,E_y,2,1,1,0,1,1,found,17.898630998581641,17.898630998581641,1.5997026975234017
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_2_1,E_x,2,1,1,0,1,1,found,17.907165421545507,17.907165421545507,1.6004654675608523
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_2_2,E_y,2,2,1,0,1,1,found,24.530641173273324,24.530641173273324,2.1924432578096966
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_2_2,E_x,2,2,1,0,1,1,found,24.530641173273324,24.530641173273324,2.1924432578096966
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_y_2_3,E_y,2,3,1,0,1,1,found,33.228403323739769,33.228403323739769,2.9698118496098576
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,E_x_2_3,E_x,2,3,1,0,1,1,found,33.222931966781616,33.222931966781616,2.9693228432447469
