n4,mode_family,p,q,kz,ky,kx
1.49,E_y,1,1,9423856.3173439298,60628.182558439366,117029.66863503662
1.49,E_y,1,2,9423271.3142198902,121249.35077756082,117029.66863503662
1.492,E_y,1,1,9423857.1410170533,60500.017895201934,117029.66863503662
1.492,E_y,1,2,9423274.6255014911,120991.73047430834,117029.66863503662
1.4950000000000001,E_y,1,1,9423859.1804006342,60181.512461086153,117029.66863503662
1.4950000000000001,E_y,1,2,9423282.8416196816,120350.12795815544,117029.66863503662
1.498,E_y,1,1,9423864.6682642996,59315.939706219193,117029.66863503662
1.498,E_y,1,2,9423305.1186291818,118593.03386170095,117029.66863503662
1.4999,E_y,1,1,9423908.2157914881,51938.490554862132,117029.66863503662
1.4999,E_y,1,2,9423516.9115314949,100362.76472550753,117029.66863503662
